T,nb,seed,exact_val,t_exact,n_nodepairs,comono_val,t_comono,hybrid_val,t_hybrid,n_lp_hybrid,frac_lp,gap_comono_pct,gap_hybrid_pct,time_ratio
2,30,104,0.04073752422624931,0.1480110450011125,902,0.044987799117260335,0.042240094999215216,0.04073752422624931,0.051417541999398964,1,0.0011086474501108647,10.433316633101512,0.0,0.34738989917281166
2,30,105,0.026840353641482483,0.1470183729998098,902,0.033904853143862546,0.042028174000734,0.026840353641482503,0.050723119000394945,1,0.0011086474501108647,26.32044121602664,7.755740475620615e-14,0.3450121094760079
2,30,106,0.02345954149652134,0.14410067700009677,902,0.0266574640104888,0.04257014100039669,0.02345954149652135,0.049566734000109136,1,0.0011086474501108647,13.631649682674574,4.436719642369919e-14,0.3439729433059905
2,30,107,0.022268456109579986,0.14089819099899614,902,0.025939275246787727,0.04382752499986964,0.022268456109579986,0.055102328000430134,1,0.0011086474501108647,16.484389933204834,0.0,0.39107903096373126
2,30,108,0.023153810336535473,0.1419246130008105,902,0.02785313697442626,0.04151660100069421,0.023153810336535484,0.05141043000003265,1,0.0011086474501108647,20.296126510440917,4.4953036690626413e-14,0.3622375915849005
2,30,109,0.01799279838403007,0.1384684639997431,902,0.022183293370819288,0.04335925800114637,0.017992798384030066,0.05029620399909618,1,0.0011086474501108647,23.28984573354966,-1.9282419987726887e-14,0.3632321941491998
3,3,100,0.22293051792190136,0.007260812000822625,92,0.22462893541489926,0.001026971998726367,0.22293051792190138,0.0017331309991277521,4,0.043478260869565216,0.7618595734806044,1.24503257222739e-14,0.2386965808963783
3,3,101,0.34460912121356224,0.007470449998436379,92,0.42061678670815655,0.00093454399939219,0.34460912121356224,0.0023822339990147157,7,0.07608695652173914,22.056196663317742,0.0,0.3188876171466692
3,3,102,0.3140577686366637,0.00705714200012153,92,0.3176101367354617,0.0009924299993144814,0.3140577686366637,0.0020820000008825446,7,0.07608695652173914,1.1311193205692565,0.0,0.2950202788673787
3,3,103,0.41100705906484336,0.0075133130012545735,92,0.4349111743791668,0.0010704079995775828,0.41100705906484336,0.0019193419993825955,5,0.05434782608695652,5.815986559625531,0.0,0.25545881012305804
3,3,104,0.2921392715606691,0.0071342219998769,92,0.30312333353105314,0.0010013159990194254,0.2921392715606691,0.001999362999413279,8,0.08695652173913043,3.7598717596935476,0.0,0.2802496192924439
3,3,105,0.2659675104995628,0.007230014000015217,92,0.2666907328019417,0.0009623519999877317,0.2659675104995628,0.0024046010003075935,5,0.05434782608695652,0.2719212963344678,0.0,0.3325859397094573
3,3,106,0.236215813230463,0.007079478000378003,92,0.24192812741309713,0.0010215870006504701,0.236215813230463,0.0019225989999540616,7,0.07608695652173914,2.4182607017341935,0.0,0.2715735538483778
3,3,107,0.42520160540166263,0.007964892000018153,92,0.4277029263059577,0.0009889320008369396,0.42520160540166263,0.0021783800002594944,8,0.08695652173913043,0.5882670414501864,0.0,0.2734977448852451
3,3,108,0.2419396589128572,0.006918958000824205,92,0.256390666146993,0.001347979001366184,0.2419396589128572,0.0018698900003073504,6,0.06521739130434782,5.972979915351882,0.0,0.27025601255053205
3,3,109,0.3384893044706081,0.007260722999490099,92,0.3554925641328062,0.0009299850007664645,0.3384893044706081,0.0021114770006533945,9,0.09782608695652174,5.023278265406628,0.0,0.29080809181147355
3,4,100,0.2698993692209172,0.02143083599912643,274,0.28632618965793455,0.0034472159986762563,0.2698993692209172,0.005791417001091759,17,0.06204379562043796,6.086275964421297,0.0,0.2702375680224435
3,4,101,0.656331075675407,0.021779896000225563,274,0.6803973945985817,0.003178937999109621,0.656331075675407,0.00565224799902353,16,0.058394160583941604,3.6667955876398026,0.0,0.2595167579755657
3,4,102,0.33339698282158037,0.022412944001189317,274,0.3378421998736107,0.0031250810006895335,0.33339698282158037,0.005886726999960956,15,0.05474452554744526,1.3333105220118964,0.0,0.262648539149903
3,4,103,0.1910790917625724,0.02117727000040759,274,0.20300737020152596,0.0031585550004820107,0.1910790917625724,0.006057058000806137,17,0.06204379562043796,6.242586946025042,0.0,0.2860169417818992
3,4,104,0.19976993054425063,0.021319524001228274,274,0.2036904761285181,0.003124471000774065,0.19976993054425063,0.00558647599973483,16,0.058394160583941604,1.9625303836199879,0.0,0.26203568144452843
